Name,Year,Duration,Rating,MetaScore,Vote,Gross
Rangasthalam,2018,170,8.6,Unknown,14465,Unknown
2.0,2018,148,7.1,Unknown,14462,Unknown
Parmanu: The Story of Pokhran,2018,129,7.8,Unknown,14383,Unknown
Sonu Ke Titu Ki Sweety,2018,138,7.2,Unknown,14356,Unknown
Marrowbone,2017,110,6.6,63,14336,1377
Beyond Skyline,2017,106,5.3,46,14329,992181
Yeh Meri Family,2018,30,9.5,Unknown,14249,Unknown
Anne,2017,60,8.4,Unknown,14247,Unknown
Mom and Dad,2017,86,5.5,59,14109,Unknown
Early Man,2018,89,6.1,68,14106,8267544
Toilet - Ek Prem Katha,2017,155,7.3,Unknown,14073,1830715
K.G.F: Chapter 1,2018,156,8.9,Unknown,14043,Unknown
Sand Castle,2017,113,6.3,45,14009,Unknown
Wild Wild Country,2018,401,8.2,Unknown,14008,Unknown
Breathe,2017,118,7.1,51,13904,490131
Night School,2018,111,5.6,43,13889,77339130
Wish Upon,2017,90,5.0,32,13845,14301505
Robin Hood,2018,116,5.4,32,13813,30818215
Like Father,2018,98,6.1,52,13803,Unknown
Jeepers Creepers 3,2017,100,4.1,Unknown,13792,2235162
Tulip Fever,2017,105,6.2,38,13772,2425664
Counterpart,2017,60,8.1,Unknown,13726,Unknown
Barry,2018,30,8.1,Unknown,13705,Unknown
Flames,2018,20,9.6,Unknown,13651,Unknown
Once Upon a Time in Venice,2017,94,5.3,28,13642,Unknown
Padman,2018,140,8.1,Unknown,13509,1662927
Genius,2017,43,8.4,Unknown,13500,Unknown
The Hurricane Heist,2018,103,5.0,35,13481,6115825
Feud,2017,45,8.6,Unknown,13456,Unknown
The Little Hours,2017,90,5.8,69,13432,1647175
Den skyldige,2018,85,7.6,83,13425,207140
Naked,2017,96,5.4,36,13226,Unknown
Marshall,2017,118,7.2,66,13195,10051659
Midnight Sun,2018,91,6.6,38,13190,9561064
6 Days,2017,94,6.2,36,13181,Unknown
Wheelman,2017,82,6.4,66,13178,Unknown
The Sisters Brothers,2018,121,7.1,78,13135,3143056
Arjun Reddy,2017,182,8.5,Unknown,13131,Unknown
Stranger Things,2016,62,9.4,Unknown,13056,Unknown
Super Dark Times,2017,103,6.6,75,13019,33109
Calibre,2018,101,6.7,76,13005,Unknown
Father Figures,2017,113,5.4,22,12985,17501244
The Happytime Murders,2018,91,5.3,27,12960,20706452
Fahrenheit 451,2018,100,4.9,Unknown,12933,Unknown
Thugs of Hindostan,2018,164,3.7,Unknown,12914,1449848
Rick and Morty,2013,22,9.5,Unknown,12891,Unknown
Beirut,2018,109,6.4,69,12838,5019226
Mirzapur,2018,60,8.6,Unknown,12798,Unknown
Élite,2018,60,7.6,Unknown,12791,Unknown
Brigsby Bear,2017,97,7.3,68,12719,532669
The Party,2017,71,6.6,73,12718,749827
Lucky,2017,88,7.4,80,12653,955925
Chalard games goeng,2017,130,7.7,Unknown,12631,Unknown
Bharat Ane Nenu,2018,173,8.1,Unknown,12582,3554187
Cam,2018,94,6.0,71,12545,Unknown
Security,2017,88,5.7,Unknown,12543,Unknown
Salvation,2017,43,7.1,Unknown,12466,Unknown
Hunter Killer,2018,122,6.8,43,12453,15767460
Terminal,2018,95,5.3,27,12441,Unknown
Rememory,2017,111,6.2,48,12432,Unknown
A Discovery of Witches,2018,60,8.2,Unknown,12429,Unknown
Girlboss,2017,26,7.1,Unknown,12368,Unknown
The Breadwinner,2017,94,7.7,78,12240,312381
Batman Ninja,2018,85,5.6,Unknown,12228,Unknown
Badhaai Ho,2018,124,8.1,Unknown,12220,Unknown
Evil Genius: The True Story of America's Most Diabolical Bank Heist,2018,192,7.6,Unknown,12173,Unknown
The Week Of,2018,116,5.1,42,12161,Unknown
Brad's Status,2017,102,6.5,71,12153,2133158
Crooked House,2017,115,6.3,59,12107,Unknown
Won't You Be My Neighbor?,2018,94,8.5,85,12101,22609437
A Prayer Before Dawn,2017,116,6.9,76,12066,Unknown
The Keepers,2017,434,8.2,Unknown,12014,Unknown
Tubelight,2017,136,4.1,Unknown,12006,930058
The Good Fight,2017,45,8.4,Unknown,11962,Unknown
Singularity,2017,92,3.9,Unknown,11802,4176
Future Man,2017,30,7.9,Unknown,11793,Unknown
Dumplin',2018,110,6.8,53,11772,Unknown
Stranger Things,2016,47,9.3,Unknown,11690,Unknown
Suspiria,2018,152,7.3,64,11639,2474044
Creep 2,2017,78,6.4,75,11610,Unknown
Newton,2017,106,7.7,Unknown,11553,Unknown
Churchill,2017,105,6.3,44,11539,1244798
The Princess Switch,2018,101,6.0,Unknown,11530,Unknown
Recep Ivedik 5,2017,114,3.5,Unknown,11519,Unknown
Aile Arasinda,2017,124,8.0,Unknown,11502,Unknown
Loving Pablo,2017,123,6.3,42,11377,22017
Westworld,2016,58,8.8,Unknown,11360,Unknown
Mugen no jûnin,2017,140,6.8,72,11324,150532
